url,headline,datetime,fact_check_details,organization,caa
https://www.vishvasnews.com/politics/fact-check-post-claiming-tarak-fatah-banished-from-canada-for-spreading-hate-is-fake/,"        Fact Check: तारेक फतेह को कनाडा से नहीं निकाला है, पुलिस वालों से मज़ाक की यह तस्वीर पुरानी है      ",15-Jan-20,"Claim Review : कनाडा मैं नफरत फ़ैलाने के कारण कनाडा पुलिस ने पाकिस्तानी नागरिक तारिक फतेह की जम कर कुटाई की, साथ ही देश से बाहर भागा दिया",Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-nellore-jain-muslim-fake-ran-away-story-goes-viral-on-social-media/,Fact Check: नेल्लोर में लड़की को भगाए जाने और उसकी प्रतिक्रिया में 1800 लोगों को नौकरी से हटाये जाने की घटना झूठी है,3-Jan-20,"Claim Review : साउथ के नेल्लोर में एक मुस्लिम युवक एक जैन लड़की को फुसलाकर भगा ले गया, जैन समाज की बैठक हुई, बैठक में निर्णय लिया गया, 550 जैन दुकानों और फक्ट्रियों से मुस्लिमों को नोकरी से छुट्टी कर दी गयी . और समाज के लोगों ने जैन समाज को सपोर्ट दिया, शाम तक कुल 1800 मुस्लमान की नोकरिया चली गयीं, तो मुस्लिम समाज वाले उस लड़की को खुद ढूँढ कर सिर्फ 9 घंटे के अन्दर उसके घर सही सलामत छोड़कर आये, यह है एकता की ताक़त""",Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-post-claiming-covid-19-breeds-rapidly-in-toilet-paper-is-fake/,Fact Check: Post claiming COVID-19 breeds rapidly in toilet paper is fake,13-Mar-20,Claim Review : COVID-19 found in tissue paper,Vishvas News,No
https://www.vishvasnews.com/english/viral/fact-check-no-nasa-didnt-have-58-indian-employees-misleading-post-getting-viral/,"        Fact Check: No, NASA didn’t have 58% Indian employees, misleading post getting viral      ",23-Jan-20,"Claim Review : NASA has 58% Indian employees, Google's CEO is Indian, Nokia's CEO is Indian, Adobe 's CEO is Indian, Amazon's BOD is Indian, MasterCard's CEO is Indian, Microsoft's CEO is Indian, Pepsico's CEO was Indian Indra Nooyi",Vishvas News,No
https://www.vishvasnews.com/viral/fact-check-post-claiming-supreme-court-banned-pitbull-dog-in-india-is-fake-2/,"        Fact Check: पिटबुल रखने पर नहीं लगा है भारत में बैन, वायरल दावा फ़र्ज़ी      ",8-Dec-19,Claim Review : पिटबुल रखने पर लगा है भारत में बैन,Vishvas News,No
https://www.vishvasnews.com/punjabi/society/fact-check-bhain-gagandeep-kaur-khalsa-image-is-going-viral-with-fake-claim/,Fact Check: ਸਿੱਖ ਧਰਮ ਪ੍ਰਚਾਰਕ ਦੀ  ਤਸਵੀਰ ਨਾਲ ਫਰਜ਼ੀ ਕੈਪਸ਼ਨ ਲਿਖ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ ਵਾਇਰਲ,24-Feb-20,Claim Review : ਮੇਰੀ ਸਹੇਲੀ ਲਈ ਇਕ ਚੰਗੇ ਪੜ੍ਹੇ ਲਿਖੇ ਅਮ੍ਰਿਤਧਾਰੀ ਵਰ ਦੀ ਲੋੜ ਹੈ ਜੋ ਕਨੇਡਾ ਜਾਣ ਦਾ ਖਰਚਾ ਕਰ ਸਕੇ,Vishvas News,No
https://www.vishvasnews.com/english/health/fact-check-the-post-claiming-that-baking-soda-can-cure-cancer-is-fake/,Fact Check: The post claiming that baking soda can cure cancer is fake,13-Dec-19,Claim Review : Combat cancer with baling soda,Vishvas News,No
https://www.vishvasnews.com/politics/fact-check-shivam-tyagi-video-went-viral-in-the-name-of-naseeruddin-shahs-brother/,"        Fact Check : वायरल वीडियो में नसीरुद्दीन शाह के भाई नहीं, भाजपा नेता हैं      ",11-Feb-20,Claim Review : दावा किया जा रहा है कि वीडियो में दिख रहे शख्‍स नसीरुद्दीन शाह के भाई रिज़वान अहमद हैं।,Vishvas News,No
https://www.vishvasnews.com/english/health/quick-fact-check-fake-post-on-image-determining-the-state-of-mind-resurfaces/,Quick Fact Check: Fake post on image determining the state of mind resurfaces,7-Jan-20,Claim Review : Image determines the state of mind,Vishvas News,No
https://www.vishvasnews.com/english/society/fact-check-former-miss-india-universes-image-is-going-viral-with-false-claim/,Fact Check: Former Miss India Universe’s image is going viral with false claim,7-Jan-20,Claim Review :  A father made his daughter ASI by pulling the rickshaw. Salute to the Father.,Vishvas News,No
