url,headline,datetime,organization,caa
https://www.boomlive.in/world/coronavirus/coronavirus-philippines-refutes-fake-advisory-on-visiting-malls-7200,Coronavirus: Philippines Refutes Fake Advisory On Visiting Malls,3/13/20,Boomlive,No
https://www.boomlive.in/fake-news/coronavirus-viral-forward-promising-free-masks-is-fake-7250,Coronavirus: Viral Forward Promising Free Masks Is Fake,3/17/20,Boomlive,No
https://www.boomlive.in/fake-news/no-delhi-violence-gunman-is-not-anurag-mishra-7025,"No, Delhi Violence Gunman Is Not Anurag Mishra",2/26/20,Boomlive,Yes
https://www.boomlive.in/fake-news/nirbhaya-helpline-number-deactivated-in-2018-viral-message-false-6180,Nirbhaya Helpline Number Deactivated In 2018; Viral Message False,12/1/19,Boomlive,No
https://www.boomlive.in/fake-news/hyderabad-vet-rape-murder-social-media-flooded-with-misinformation-6206,Hyderabad Vet Rape-Murder: Social Media Flooded With Misinformation,12/4/19,Boomlive,No
https://www.boomlive.in/fake-news/2019-video-of-bjp-leaders-thrashing-each-other-revived-6913,2019 Video Of BJP Leaders Thrashing Each Other Revived,2/17/20,Boomlive,No
https://www.boomlive.in/coronavirus-outbreak/10-bizarre-headlines-claims-about-coronavirus-that-went-viral-7278,"10 Bizarre Headlines, Claims About Coronavirus That Went Viral",3/19/20,Boomlive,No
https://www.boomlive.in/world/did-south-african-leaders-hide-their-luxury-cars-in-bushes-6982,Did South African Leaders Hide Their Luxury Cars In Bushes?,2/24/20,Boomlive,No
https://www.boomlive.in/fact-file/did-the-race-to-5g-cause-the-coronavirus-outbreak-7404,Did The Race To 5G Cause The Coronavirus Outbreak?,3/28/20,Boomlive,No
https://www.boomlive.in/fake-news/video-game-footage-shared-as-canadian-snipers-world-record-6220,Medal Of Honor Game Footage Shared As Canadian Sniper's World Record,12/6/19,Boomlive,No
https://www.boomlive.in/fake-news/did-jashodaben-modi-protest-at-shaheen-bagh-against-caa-6610,Did Jashodaben Modi Protest At Shaheen Bagh Against CAA?,1/20/20,Boomlive,Yes
https://www.boomlive.in/politics/netflix-sex-aur-data-bizarre-tweets-promote-bjps-caa-helpline-6474,"Netflix, Sex Aur Data: Bizarre Tweets Promote BJP's CAA Helpline",1/4/20,Boomlive,Yes
https://www.boomlive.in/fake-news/fake-rate-card-for-marrying-non-muslim-women-revived-7048,Fake Rate Card For Marrying Non-Muslim Women Revived,2/28/20,Boomlive,Yes
https://www.boomlive.in/fact-file/zee-news-zameen-jihad-episode-plagiarises-unverified-facebook-content-7205,Zee News' Zameen Jihad Episode Plagiarises Unverified Facebook Content,3/13/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/can-bitter-gourd-help-cure-coronavirus-within-two-hours-7347,Can Bitter Gourd Help Cure Coronavirus Within Two Hours?,3/24/20,Boomlive,No
https://www.boomlive.in/fake-news/was-a-case-of-novel-coronavirus-identified-in-bihar-6915,Was A Case Of Novel Coronavirus Identified In Bihar?,2/17/20,Boomlive,No
https://www.boomlive.in/fake-news/claims-around-chhapaak-and-other-news-you-almost-believed-6545,Claims Around Chhapaak And Other News You Almost Believed,1/12/20,Boomlive,No
https://www.boomlive.in/fake-news/video-shows-assam-detention-centre-brutality-the-real-story-6420,Video Shows Assam Detention Centre Brutality? The Real Story,12/28/19,Boomlive,No
https://www.boomlive.in/world/coronavirus/inaccurate-covid-19-details-falsely-attributed-to-thai-doctor-7217,Inaccurate COVID-19 Details Falsely Attributed To Thai Doctor,3/14/20,Boomlive,No
https://www.boomlive.in/world/staged-car-crash-video-misused-to-spread-misinformation-about-coronavirus-6955,Staged Car Crash Video Misused To Spread Misinformation About Coronavirus,2/20/20,Boomlive,No
https://www.boomlive.in/politics/sharjeel-imams-amu-speech-sparks-row-assam-police-slaps-sedition-6662,Sharjeel Imam's AMU Speech Sparks Row; Assam Police Slaps Sedition,1/25/20,Boomlive,Yes
https://www.boomlive.in/fake-news/fake-coimbatore-restaurant-serving-biryani-to-make-hindus-impotent-7091,Fake: Coimbatore Restaurant Serving Biryani To Make Hindus Impotent,3/2/20,Boomlive,No
https://www.boomlive.in/world/false-churches-in-spain-built-with-bones-of-murdered-muslims-7211,False: Churches In Spain Built With Bones Of Murdered Muslims,3/13/20,Boomlive,No
https://www.boomlive.in/world/did-a-pakistani-partys-chief-urge-members-to-forego-contraceptives-6956,Did A Pakistani Party's Chief Urge Members To Forego Contraceptives?,2/20/20,Boomlive,No
https://www.boomlive.in/fast-check/2012-photo-of-bjp-workers-vandalising-a-truck-revived-6353,2012 Photo Of BJP Workers Vandalising A Truck Revived,12/20/19,Boomlive,No
https://www.boomlive.in/world/corona-outbreak-did-an-alcohol-based-disinfectant-cause-an-explosion-7356-,Corona Outbreak: Did An Alcohol-Based Disinfectant Cause An Explosion?,3/25/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/ancient-medicinal-herb-drink-to-treat-coronavirus-a-factcheck-7277,Ancient Medicinal Herb Drink To Treat Coronavirus? A FactCheck,3/19/20,Boomlive,No
https://www.boomlive.in/world/old-photo-revived-as-thailand-university-students-protesting-in-2020-7131,Old Photo Revived As Thailand University Students Protesting In 2020,3/5/20,Boomlive,No
https://www.boomlive.in/fake-news/coronavirus-notification-on-movement-restrictions-is-not-from-india-7280,Coronavirus: Notification On Movement Restrictions Is Not From India,3/19/20,Boomlive,No
https://www.boomlive.in/world/contagion-film-scene-shared-as-mass-burial-of-coronavirus-victims-7032,'Contagion' Film Scene Shared As Mass Burial Of Coronavirus Victims,2/27/20,Boomlive,No
https://www.boomlive.in/fake-news/no-jnu-sfi-leader-did-not-fake-his-injuries-6504,"No, JNU SFI Leader Did Not Fake His Injuries",1/8/20,Boomlive,Yes
https://www.boomlive.in/fake-news/video-shows-ips-officers-message-extolling-hindutva-not-quite-7294,Video Shows IPS Officer's Message Extolling Hindutva? Not Quite,3/20/20,Boomlive,No
https://www.boomlive.in/fake-news/bjp-members-photo-viral-as-mangaluru-airport-bomb-suspect-6638,BJP Member's Photo Viral As Mangaluru Airport Bomb Suspect,1/23/20,Boomlive,No
https://www.boomlive.in/fake-news/fake-nita-ambanis-tweet-supporting-pm-modi-amit-shah-6366,"FAKE: Nita Ambani's 'Tweet' Supporting PM Modi, Amit Shah",12/21/19,Boomlive,No
https://www.boomlive.in/fake-news/no-this-is-not-sophie-trudeau-talking-about-coronavirus-7299,"No, This Is Not Sophie Trudeau Talking About Coronavirus",3/21/20,Boomlive,No
https://www.boomlive.in/factcheck/can-cow-urine-or-gaumutra-cure-coronavirus-what-we-know-7308,Can Cow Urine Or Gaumutra Cure Coronavirus? What We Know,3/21/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/australian-prime-minister-did-not-order-a-national-shutdown-7286,Australian Prime Minister Did Not Order A National Shutdown,3/19/20,Boomlive,No
https://www.boomlive.in/fake-news/unrelated-image-peddled-as-condoms-found-at-shaheen-bagh-6933,Unrelated Image Peddled As Condoms Found At Shaheen Bagh,2/19/20,Boomlive,Yes
https://www.boomlive.in/health/can-contaminated-currencies-spread-coronavirus-all-you-need-to-know-7297,Can Contaminated Currencies Spread Coronavirus? All You Need To Know,3/20/20,Boomlive,No
https://www.boomlive.in/fake-news/video-shows-amanatullah-khans-outburst-against-kejriwal-a-factcheck-7073,Video Shows Amanatullah Khan's Outburst Against Kejriwal? A FactCheck,3/1/20,Boomlive,Yes
https://www.boomlive.in/fake-news/did-a-netflix-show-predict-the-covid-19-outbreak-7398,Did A Netflix Show Predict The COVID-19 Outbreak?,3/27/20,Boomlive,No
https://www.boomlive.in/fake-news/factcheck-bjp-mp-smriti-irani-greeting-rape-accused-chinmayanand-6650,FactCheck: BJP MP Smriti Irani Greeting Rape Accused Chinmayanand?,1/24/20,Boomlive,No
https://www.boomlive.in/fake-news/fake-graphic-claims-amit-shah-tests-positive-for-coronavirus-7393,Fake Graphic Claims Amit Shah Tests Positive For Coronavirus,3/27/20,Boomlive,No
https://www.boomlive.in/fake-news/false-video-shows-kanhaiya-kumar-thrashed-at-a-rally-7170,False: Video Shows Kanhaiya Kumar Thrashed At A Rally,3/9/20,Boomlive,No
https://www.boomlive.in/fast-check/kanhaiya-kumar-converts-to-islam-no-doctored-video-revived-6590,"Kanhaiya Kumar Converts To Islam? No, Doctored Video Revived",1/17/20,Boomlive,No
https://www.boomlive.in/fake-news/video-of-natures-beatbox-lyrebird-viral-with-bizarre-claim-6186,Video Of Nature's Beatbox Lyrebird Viral With Bizarre Claim,12/2/19,Boomlive,No
https://www.boomlive.in/coronavirustopstories/times-of-india-misreports-agra-woman-fleeing-after-coronavirus-tests-7229,Times of India Misreports Agra Woman Fleeing After Coronavirus Tests,3/15/20,Boomlive,No
https://www.boomlive.in/fast-check/pm-modi-photographed-with-chhota-rajan-morphed-image-revived-6608,PM Modi Photographed With Chhota Rajan? Morphed Image Revived,1/20/20,Boomlive,No
https://www.boomlive.in/fake-news/false-chinese-intelligence-officer-reveals-coronavirus-is-a-bioweapon-7224,False: Chinese Intelligence Officer Reveals Coronavirus Is A Bioweapon,3/15/20,Boomlive,No
https://www.boomlive.in/health/man-suspects-he-has-coronavirus-kills-self-in-andhra-pradesh-6861,Man Suspects He Has Coronavirus; Kills Self In Andhra Pradesh,2/11/20,Boomlive,No
https://www.boomlive.in/fake-news/viral-posts-claiming-himalaya-ceo-funds-terrorism-are-false-7216,Viral Posts Claiming Himalaya CEO Funds Terrorism Are False,3/14/20,Boomlive,No
https://www.boomlive.in/fake-news/video-of-congress-leader-harish-mishra-shared-as-bjp-6528,Video Of Congress Leader Harish Mishra Shared As BJP,1/10/20,Boomlive,No
https://www.boomlive.in/fake-news/images-of-baby-with-birth-defect-falsely-linked-to-coronavirus-7449,Images Of Baby With Birth Defect Falsely Linked To Coronavirus,3/30/20,Boomlive,No
https://www.boomlive.in/fake-news/hyderabad-vets-rape-and-murder-case-unrelated-video-goes-viral-6182,Hyderabad Vet's Rape And Murder Case: Unrelated Video Goes Viral,12/1/19,Boomlive,No
https://www.boomlive.in/fake-news/sea-of-protesters-at-mumbais-mohammed-ali-road-not-quite-6294,Sea Of Protesters At Mumbai's Mohammed Ali Road? Not Quite,12/14/19,Boomlive,Yes
https://www.boomlive.in/world/articles-falsely-claim-canada-to-welcome-3-million-immigrants-in-2020-7060,Articles Falsely Claim Canada To Welcome 3 Million Immigrants In 2020,2/28/20,Boomlive,No
https://www.boomlive.in/fake-news/video-from-indonesia-peddled-as-muslim-man-tortured-in-china-6785,Video From Indonesia Peddled As Muslim Man Tortured In China,2/5/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/no-a-coronavirus-quarantine-hotel-did-not-collapse-in-china-7379,"No, A Coronavirus Quarantine Hotel Did Not Collapse In China",3/26/20,Boomlive,No
https://www.boomlive.in/world/is-this-how-the-coronavirus-looks-magnified-2600-times-a-factcheck-7190,"Is This How The Coronavirus Looks Magnified 2,600 Times? A FactCheck.",3/12/20,Boomlive,No
https://www.boomlive.in/fake-news/vivek-agnihotri-posts-a-doctored-image-of-anti-caa-protester-6530,Vivek Agnihotri Posts A Doctored Image Of Anti-CAA Protester,1/10/20,Boomlive,Yes
https://www.boomlive.in/world/no-man-who-ate-bat-in-video-does-not-have-coronavirus-7101,"No, Man Who Ate Bat In Video Does Not Have Coronavirus",3/3/20,Boomlive,No
https://www.boomlive.in/fake-news/nehru-indira-gandhis-archival-image-goes-viral-with-false-claim-6574,"Nehru, Indira Gandhi's Archival Image Goes Viral With False Claim",1/15/20,Boomlive,No
https://www.boomlive.in/world/video-from-saudi-arabia-shared-as-chinese-people-converting-to-islam-7072,Video From Saudi Arabia Shared As Chinese People Converting To Islam,3/1/20,Boomlive,No
https://www.boomlive.in/world/coronavirus/no-refugees-in-malaysia-are-not-resisting-covid-19-testing-7309,"No, Refugees In Malaysia Are Not Resisting COVID-19 Testing",3/21/20,Boomlive,No
https://www.boomlive.in/fake-news/fake-quote-on-pulwama-attacks-attributed-to-comedian-kunal-kamra-6981,Fake Quote On Pulwama Attacks Attributed To Comedian Kunal Kamra,2/24/20,Boomlive,No
